Year,Xiaomi,Block,Tesla,Beats,DJI,Fitbit,Peloton,Anker,Rivian,GoPro,Cursor,Anthropic,Slack,Uber,OpenAI,Zoom,Figma,DocuSign
0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,0.85,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,2.00,0.04,0.05,0.03,0.01,0.00,0.00,0.00,0.00,0.01,,1.40,0.02,0.05,0.00,0.01,0.01,0.00
3,5.20,0.20,0.12,0.15,0.03,0.00,0.01,0.00,0.00,0.03,,,0.34,0.41,0.00,0.05,0.02,0.01
4,12.50,0.55,0.07,0.35,0.08,0.00,0.06,0.02,0.00,0.06,,,0.50,0.45,0.03,0.08,0.03,0.02
5,12.50,0.85,0.02,0.50,0.13,0.01,0.17,0.06,0.00,0.24,,,,,0.03,0.15,0.06,0.03
6,10.00,1.26,0.11,0.86,0.20,0.14,0.22,0.11,0.00,0.99,,,,,0.50,0.23,0.12,0.04
7,18.00,1.71,0.12,1.20,0.50,0.27,0.44,0.35,0.00,1.39,,,,,,0.33,0.20,0.06
8,25.40,2.21,0.20,1.50,1.00,0.75,0.72,0.66,0.00,1.62,,,,,,0.50,0.30,0.08
9,29.80,3.30,0.41,1.80,1.30,1.86,1.83,0.88,0.00,1.18,,,,,,,0.50,0.11
10,37.80,4.71,2.01,2.00,2.70,2.17,4.02,1.20,0.00,1.21,,,,,,,,,0.15
11,50.90,9.50,3.20,2.20,2.70,2.17,3.58,1.70,0.00,0.89,,,,,,,,,0.20
12,41.50,17.66,4.05,2.50,2.80,1.51,2.81,1.38,1.21,1.19,,,,,,,,,0.25
13,38.20,17.53,7.00,2.50,2.70,1.43,,,,,,,,,,,,,,0.32
14,51.60,21.92,11.76,2.00,3.60,1.43,,,,,,,,,,,,,,0.50
15,,24.12,21.46,2.50,4.00,1.68,,,,,,,,,,,,,, 